serial_number,activity_date,facility_name,score,grade,service_code,service_description,employee_id,facility_address,facility_city,facility_id,facility_state,facility_zip,owner_id,owner_name,pe_description,program_element_pe,program_name,program_status,record_id
DAD5GHGIU,09/14/2016 12:00:00 AM,PARU'S INDIAN RESTAURANT,91,A,1,ROUTINE INSPECTION,EE0000857,5140 W SUNSET BLVD,LOS ANGELES,FA0044033,CA,90027,OW0027941,PARU'S RESTAURANT INC,RESTAURANT (0-30) SEATS HIGH RISK,1632,PARU'S INDIAN RESTAURANT,ACTIVE,PR0017175
DAKFUMCPA,09/14/2016 12:00:00 AM,GOLDEN ROAD BREWERY,95,A,1,ROUTINE INSPECTION,EE0000721,317 S BROADWAY ST # 12,LOS ANGELES,FA0203809,CA,90013,OW0208934,"CUSTOM CALIF. CRAFT BEER , LLC",RESTAURANT (0-30) SEATS HIGH RISK,1632,GOLDEN ROAD BREWERY,ACTIVE,PR0176215
DAPZZHNQQ,09/14/2016 12:00:00 AM,SHRINE,91,A,1,ROUTINE INSPECTION,EE0000946,2999 W 6TH ST BM,LOS ANGELES,FA0047730,CA,90020,OW0003673,"BAE, HEE DU",RESTAURANT (61-150) SEATS HIGH RISK,1638,SHRINE,ACTIVE,PR0025822
DARD4RARH,09/14/2016 12:00:00 AM,KNEAD & CO,95,A,1,ROUTINE INSPECTION,EE0000721,317 S BROADWAY,LOS ANGELES,FA0203198,CA,90013,OW0208416,MEATY LEAF LLC,RESTAURANT (0-30) SEATS HIGH RISK,1632,KNEAD & CO,ACTIVE,PR0175541
DA7UKIYVM,09/14/2016 12:00:00 AM,VONS MARKET #2655,98,A,1,ROUTINE INSPECTION,EE0000162,7311 N FIGUEROA ST,LOS ANGELES,FA0054446,CA,90041,OW0038181,THE VONS COMPANIES INC.,"FOOD MKT RETAIL (1-1,999 SF) HIGH RISK",1612,VONS MEAT DEPT,ACTIVE,PR0018695
DARGOW4NV,09/14/2016 12:00:00 AM,JK MARKET,97,A,1,ROUTINE INSPECTION,EE0000869,347 S WESTERN AVE,LOS ANGELES,FA0203306,CA,90020,OW0208509,GEUM SOOK KIM,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",1610,JK MARKET,ACTIVE,PR0175646
DA4ZRNUYM,09/14/2016 12:00:00 AM,ROLL ROLL ROLL,90,A,1,ROUTINE INSPECTION,EE0000869,635 S HOBART BLVD STE #C,LOS ANGELES,FA0046107,CA,90005,OW0032672,SEONG CHEOL SHIN,RESTAURANT (31-60) SEATS HIGH RISK,1635,ROLL ROLL ROLL,ACTIVE,PR0019546
DAIN6YOJB,09/14/2016 12:00:00 AM,BAR MORUNO,99,A,1,ROUTINE INSPECTION,EE0000721,317 S BROADWAY WAY # E-12,LOS ANGELES,FA0225608,CA,90013,OW0229858,"SPROUT GCM, LLC",RESTAURANT (0-30) SEATS HIGH RISK,1632,BAR MORUNO WALK-IN COOLER AND STORAGE ROOM,INACTIVE,PR0180928
DASTI7VMK,09/14/2016 12:00:00 AM,SA RIT GOL,90,A,1,ROUTINE INSPECTION,EE0000699,3324 W 6TH ST # A,LOS ANGELES,FA0239219,CA,90020,OW0235551,PICCADILLY BILLIARD ENTER.INC,RESTAURANT (0-30) SEATS HIGH RISK,1632,SA RIT GOL,INACTIVE,PR0187181
DAONNLF5L,09/14/2016 12:00:00 AM,TEXAS DONUTS,91,A,1,ROUTINE INSPECTION,EE0001049,4501 WHITTIER BLVD,LOS ANGELES,FA0171989,CA,90022-2453,OW0179045,HENG PHAN,RESTAURANT (0-30) SEATS MODERATE RISK,1631,TEXAS DONUTS,ACTIVE,PR0164482
